id,title,link,gu,income_target,require_child,require_pregnant,child_age_min,child_age_max,require_disability
1,첫만남이용권(국가 공통 출산지원 바우처),https://www.bokjiro.go.kr,ALL,ALL,N,Y,-1,-1,ANY
2,영아수당(0~1세 가정 양육수당),https://www.bokjiro.go.kr,ALL,ALL,Y,N,0,1,ANY
3,아동수당(만 8세 미만 아동),https://www.bokjiro.go.kr,ALL,ALL,Y,N,0,7,ANY
4,임신출산진료비지원(국민행복카드),https://www.nhis.or.kr,ALL,ALL,N,Y,-1,-1,ANY
5,산모신생아건강관리지원(산후도우미),https://www.childcare.go.kr,ALL,LOW,Y,Y,0,0,ANY
6,저소득층기저귀조제분유지원,https://www.childcare.go.kr,ALL,LOW,Y,N,0,2,ANY
7,아이돌봄서비스(시간제·종일제),https://www.idolbom.go.kr,ALL,ALL,Y,N,0,12,ANY
8,영유아건강검진국가검진,https://www.nhis.or.kr,ALL,ALL,Y,N,0,5,ANY
9,영유아필수예방접종,https://nip.kdca.go.kr,ALL,ALL,Y,N,0,6,ANY
10,한부모가족아동양육비지원,https://www.bokjiro.go.kr,ALL,LOW,Y,N,0,18,ANY
11,청소년한부모자립지원,https://www.bokjiro.go.kr,ALL,LOW,Y,N,0,18,ANY
12,다자녀가구전기요금감면,https://www.bokjiro.go.kr,ALL,LOW,Y,N,0,18,ANY
13,다자녀가구도시가스요금감면,https://www.bokjiro.go.kr,ALL,LOW,Y,N,0,18,ANY
14,근로자출산휴가급여,https://www.work24.go.kr,ALL,ALL,N,Y,-1,-1,ANY
15,배우자출산휴가급여,https://www.work24.go.kr,ALL,ALL,N,Y,-1,-1,ANY
16,육아휴직급여(만8세이하자녀),https://www.work24.go.kr,ALL,ALL,Y,N,0,8,ANY
17,육아기근로시간단축제도,https://www.work24.go.kr,ALL,ALL,Y,N,0,8,ANY
18,모성보호관련급여(고용보험),https://www.comwel.or.kr,ALL,ALL,N,Y,-1,-1,ANY
19,주거급여(저소득가구),https://www.bokjiro.go.kr,ALL,LOW,Y,N,0,18,ANY
